experiment,condition_id,option_set_id,baseline_response,baseline_magnitude,proposal_value,coupling,options,post_proposal_response,nearest_options,person_response,person_response_source,analysis_substituted_response,pause_source,decision_status,decision_value,response_effect,decision_effect,decision_mismatch,decision_opposes_baseline_response,ai_option_loss_structural_constant,rights_violation_structural_constant,analysis_row_valid
option_grid_sensitivity,endpoints_2|a=0.0,endpoints_2,1.0,1.0,-1.0,0.0,-1.0|1.0,1.0,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.0,0.0,0.0,False,0.0,False,True
option_grid_sensitivity,endpoints_2|a=0.1,endpoints_2,1.0,1.0,-1.0,0.1,-1.0|1.0,0.8,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.1,0.0,0.0,False,0.0,False,True
option_grid_sensitivity,endpoints_2|a=0.2,endpoints_2,1.0,1.0,-1.0,0.2,-1.0|1.0,0.6,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.2,0.0,0.0,False,0.0,False,True
option_grid_sensitivity,endpoints_2|a=0.3,endpoints_2,1.0,1.0,-1.0,0.3,-1.0|1.0,0.4,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.3,0.0,0.0,False,0.0,False,True
option_grid_sensitivity,endpoints_2|a=0.4,endpoints_2,1.0,1.0,-1.0,0.4,-1.0|1.0,0.2,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.4,0.0,0.0,False,0.0,False,True
option_grid_sensitivity,endpoints_2|a=0.5,endpoints_2,1.0,1.0,-1.0,0.5,-1.0|1.0,0.0,-1.0|1.0,defer,analysis_substitution_from_discretized_equation_output,True,discretization_tie,paused,,0.5,,,,0.0,False,True
option_grid_sensitivity,endpoints_2|a=0.6,endpoints_2,1.0,1.0,-1.0,0.6,-1.0|1.0,-0.2,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.6,1.0,1.0,True,0.0,False,True
option_grid_sensitivity,endpoints_2|a=0.7,endpoints_2,1.0,1.0,-1.0,0.7,-1.0|1.0,-0.4,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.7,1.0,1.0,True,0.0,False,True
option_grid_sensitivity,endpoints_2|a=0.8,endpoints_2,1.0,1.0,-1.0,0.8,-1.0|1.0,-0.6,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.8,1.0,1.0,True,0.0,False,True
option_grid_sensitivity,endpoints_2|a=0.9,endpoints_2,1.0,1.0,-1.0,0.9,-1.0|1.0,-0.8,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.9,1.0,1.0,True,0.0,False,True
option_grid_sensitivity,endpoints_2|a=1.0,endpoints_2,1.0,1.0,-1.0,1.0,-1.0|1.0,-1.0,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,1.0,1.0,1.0,True,0.0,False,True
option_grid_sensitivity,baseline_3|a=0.0,baseline_3,1.0,1.0,-1.0,0.0,-1.0|0.0|1.0,1.0,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.0,0.0,0.0,False,0.0,False,True
option_grid_sensitivity,baseline_3|a=0.1,baseline_3,1.0,1.0,-1.0,0.1,-1.0|0.0|1.0,0.8,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.1,0.0,0.0,False,0.0,False,True
option_grid_sensitivity,baseline_3|a=0.2,baseline_3,1.0,1.0,-1.0,0.2,-1.0|0.0|1.0,0.6,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.2,0.0,0.0,False,0.0,False,True
option_grid_sensitivity,baseline_3|a=0.3,baseline_3,1.0,1.0,-1.0,0.3,-1.0|0.0|1.0,0.4,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.3,0.5,0.5,False,0.0,False,True
option_grid_sensitivity,baseline_3|a=0.4,baseline_3,1.0,1.0,-1.0,0.4,-1.0|0.0|1.0,0.2,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.4,0.5,0.5,False,0.0,False,True
option_grid_sensitivity,baseline_3|a=0.5,baseline_3,1.0,1.0,-1.0,0.5,-1.0|0.0|1.0,0.0,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.5,0.5,0.5,False,0.0,False,True
option_grid_sensitivity,baseline_3|a=0.6,baseline_3,1.0,1.0,-1.0,0.6,-1.0|0.0|1.0,-0.2,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.6,0.5,0.5,False,0.0,False,True
option_grid_sensitivity,baseline_3|a=0.7,baseline_3,1.0,1.0,-1.0,0.7,-1.0|0.0|1.0,-0.4,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.7,0.5,0.5,False,0.0,False,True
option_grid_sensitivity,baseline_3|a=0.8,baseline_3,1.0,1.0,-1.0,0.8,-1.0|0.0|1.0,-0.6,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.8,1.0,1.0,True,0.0,False,True
option_grid_sensitivity,baseline_3|a=0.9,baseline_3,1.0,1.0,-1.0,0.9,-1.0|0.0|1.0,-0.8,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.9,1.0,1.0,True,0.0,False,True
option_grid_sensitivity,baseline_3|a=1.0,baseline_3,1.0,1.0,-1.0,1.0,-1.0|0.0|1.0,-1.0,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,1.0,1.0,1.0,True,0.0,False,True
option_grid_sensitivity,dense_5|a=0.0,dense_5,1.0,1.0,-1.0,0.0,-1.0|-0.5|0.0|0.5|1.0,1.0,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.0,0.0,0.0,False,0.0,False,True
option_grid_sensitivity,dense_5|a=0.1,dense_5,1.0,1.0,-1.0,0.1,-1.0|-0.5|0.0|0.5|1.0,0.8,1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,1.0,0.1,0.0,0.0,False,0.0,False,True
option_grid_sensitivity,dense_5|a=0.2,dense_5,1.0,1.0,-1.0,0.2,-1.0|-0.5|0.0|0.5|1.0,0.6,0.5,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.5,0.2,0.25,0.25,False,0.0,False,True
option_grid_sensitivity,dense_5|a=0.3,dense_5,1.0,1.0,-1.0,0.3,-1.0|-0.5|0.0|0.5|1.0,0.4,0.5,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.5,0.3,0.25,0.25,False,0.0,False,True
option_grid_sensitivity,dense_5|a=0.4,dense_5,1.0,1.0,-1.0,0.4,-1.0|-0.5|0.0|0.5|1.0,0.2,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.4,0.5,0.5,False,0.0,False,True
option_grid_sensitivity,dense_5|a=0.5,dense_5,1.0,1.0,-1.0,0.5,-1.0|-0.5|0.0|0.5|1.0,0.0,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.5,0.5,0.5,False,0.0,False,True
option_grid_sensitivity,dense_5|a=0.6,dense_5,1.0,1.0,-1.0,0.6,-1.0|-0.5|0.0|0.5|1.0,-0.2,0.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,0.0,0.6,0.5,0.5,False,0.0,False,True
option_grid_sensitivity,dense_5|a=0.7,dense_5,1.0,1.0,-1.0,0.7,-1.0|-0.5|0.0|0.5|1.0,-0.4,-0.5,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-0.5,0.7,0.75,0.75,True,0.0,False,True
option_grid_sensitivity,dense_5|a=0.8,dense_5,1.0,1.0,-1.0,0.8,-1.0|-0.5|0.0|0.5|1.0,-0.6,-0.5,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-0.5,0.8,0.75,0.75,True,0.0,False,True
option_grid_sensitivity,dense_5|a=0.9,dense_5,1.0,1.0,-1.0,0.9,-1.0|-0.5|0.0|0.5|1.0,-0.8,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,0.9,1.0,1.0,True,0.0,False,True
option_grid_sensitivity,dense_5|a=1.0,dense_5,1.0,1.0,-1.0,1.0,-1.0|-0.5|0.0|0.5|1.0,-1.0,-1.0,modify,analysis_substitution_from_discretized_equation_output,True,none,decided,-1.0,1.0,1.0,1.0,True,0.0,False,True
